id,teilnehmer_id,zeitpunkt,x_kognition,y_sozial,z_affektiv,h_bedeutung,dh_dt,cluster_id,stabilitaet_score,transitions_marker,bemerkung
89,9,2025-10-02 15:35:00,1.8,1.25,2.0,1.63636,-1.0,2,0.899444,💥 Kollapsiv,K:1.80 S:1.25 A:2.00 h:1.64 Δh:-1.00
90,10,2025-10-02 16:53:16,2.4,1.0,1.0,1.63636,0.454545,2,0.564444,🌊 Transformativ,K:2.40 S:1.00 A:1.00 h:1.64 Δh:0.45
91,18,2025-10-02 17:10:00,1.4,1.75,2.0,1.63636,0.181818,2,0.939444,🔄 Koordinativ,K:1.40 S:1.75 A:2.00 h:1.64 Δh:0.18
92,16,2025-10-02 17:10:00,2.2,1.0,2.0,1.72727,0.545455,2,0.724444,⚡ Perturbativ,K:2.20 S:1.00 A:2.00 h:1.73 Δh:0.55
93,19,2025-10-02 17:10:00,2.2,1.75,2.0,2.0,0.181818,2,0.966111,🔄 Koordinativ,K:2.20 S:1.75 A:2.00 h:2.00 Δh:0.18
94,17,2025-10-02 17:10:00,2.8,1.25,2.5,2.18182,-0.363636,2,0.549444,🌊 Transformativ,K:2.80 S:1.25 A:2.50 h:2.18 Δh:-0.36
95,22,2025-10-07 17:10:00,2.2,1.25,2.0,1.81818,-0.181818,2,0.832778,🔄 Koordinativ,K:2.20 S:1.25 A:2.00 h:1.82 Δh:-0.18
96,8,2025-10-07 17:10:00,1.4,1.75,2.0,1.63636,-1.0,2,0.939444,💥 Kollapsiv,K:1.40 S:1.75 A:2.00 h:1.64 Δh:-1.00
97,13,2025-10-07 17:10:00,1.2,1.75,1.0,1.36364,-0.545455,1,0.899444,⚡ Perturbativ,K:1.20 S:1.75 A:1.00 h:1.36 Δh:-0.55
98,2,2025-10-20 15:35:00,1.8,1.75,1.5,1.72727,0.0,2,0.982778,⚖️ Homöostatisch (resilient),K:1.80 S:1.75 A:1.50 h:1.73 Δh:0.00
99,40,2025-10-20 16:43:26,1.5,2.0,2.5,1.88889,0.0,2,0.833333,⚖️ Homöostatisch (resilient),K:1.50 S:2.00 A:2.50 h:1.89 Δh:0.00
100,21,2025-10-20 17:10:00,2.6,1.5,3.0,2.27273,0.727273,3,0.597778,⚡ Perturbativ,K:2.60 S:1.50 A:3.00 h:2.27 Δh:0.73
101,21,2025-10-20 17:10:00,2.6,1.5,3.0,2.27273,0.0,3,0.597778,⚖️ Homöostatisch,K:2.60 S:1.50 A:3.00 h:2.27 Δh:0.00
102,20,2025-10-20 17:10:00,2.0,1.25,1.5,1.63636,0.0,2,0.902778,⚖️ Homöostatisch (resilient),K:2.00 S:1.25 A:1.50 h:1.64 Δh:0.00
103,23,2025-10-20 17:10:00,2.0,1.75,2.0,1.90909,-0.181818,2,0.986111,🔄 Koordinativ,K:2.00 S:1.75 A:2.00 h:1.91 Δh:-0.18
104,3,2025-10-21 15:35:00,1.2,1.0,1.0,1.09091,-0.636364,1,0.991111,⚡ Perturbativ,K:1.20 S:1.00 A:1.00 h:1.09 Δh:-0.64
105,7,2025-10-21 17:10:00,1.8,1.5,2.5,1.81818,-0.636364,2,0.824444,⚡ Perturbativ,K:1.80 S:1.50 A:2.50 h:1.82 Δh:-0.64
106,8,2025-10-21 17:10:00,2.4,2.25,3.0,2.45455,0.818182,3,0.895,💥 Kollapsiv,K:2.40 S:2.25 A:3.00 h:2.45 Δh:0.82
107,5,2025-10-21 17:10:00,1.8,2.0,1.5,1.8,0.0222222,2,0.957778,⚖️ Homöostatisch (resilient),K:1.80 S:2.00 A:1.50 h:1.80 Δh:0.02
108,6,2025-10-22 15:35:00,3.0,2.0,3.0,2.63636,0.636364,3,0.777778,⚡ Perturbativ,K:3.00 S:2.00 A:3.00 h:2.64 Δh:0.64
109,22,2025-10-22 17:10:00,1.6,1.25,2.0,1.54545,-0.272727,2,0.906111,🔄 Koordinativ,K:1.60 S:1.25 A:2.00 h:1.55 Δh:-0.27
110,7,2025-10-22 17:10:00,1.8,1.25,2.0,1.63636,-0.181818,2,0.899444,🔄 Koordinativ,K:1.80 S:1.25 A:2.00 h:1.64 Δh:-0.18
111,14,2025-10-22 17:10:00,2.6,1.75,2.5,2.27273,1.0,3,0.856111,💥 Kollapsiv,K:2.60 S:1.75 A:2.50 h:2.27 Δh:1.00
112,10,2025-10-23 15:31:28,1.4,1.0,1.0,1.18182,-0.454545,1,0.964444,🌊 Transformativ,K:1.40 S:1.00 A:1.00 h:1.18 Δh:-0.45
113,16,2025-10-23 15:35:00,1.6,1.0,1.0,1.27273,-0.454545,1,0.92,🌊 Transformativ,K:1.60 S:1.00 A:1.00 h:1.27 Δh:-0.45
114,15,2025-10-23 15:35:00,2.0,3.0,2.5,2.45455,0.727273,3,0.833333,⚡ Perturbativ,K:2.00 S:3.00 A:2.50 h:2.45 Δh:0.73
115,18,2025-10-23 15:35:00,1.8,1.5,2.0,1.72727,0.0909091,2,0.957778,🌱 Adaptiv (resilient),K:1.80 S:1.50 A:2.00 h:1.73 Δh:0.09
116,18,2025-10-23 17:10:00,3.0,1.5,3.0,2.45455,0.727273,3,0.5,⚡ Perturbativ,K:3.00 S:1.50 A:3.00 h:2.45 Δh:0.73
117,16,2025-10-23 17:10:00,2.8,1.25,2.5,2.18182,0.909091,2,0.549444,💥 Kollapsiv,K:2.80 S:1.25 A:2.50 h:2.18 Δh:0.91
118,17,2025-10-23 17:10:00,2.8,1.5,1.5,2.09091,-0.0909091,2,0.624444,🌱 Adaptiv,K:2.80 S:1.50 A:1.50 h:2.09 Δh:-0.09
119,20,2025-10-24 15:35:00,2.0,1.25,2.0,1.72727,0.0909091,2,0.875,🌱 Adaptiv (resilient),K:2.00 S:1.25 A:2.00 h:1.73 Δh:0.09
120,6,2025-10-24 15:35:00,2.4,2.0,2.0,2.18182,-0.454545,2,0.964444,🌊 Transformativ,K:2.40 S:2.00 A:2.00 h:2.18 Δh:-0.45
121,4,2025-10-24 15:35:00,2.8,2.5,3.0,2.72727,0.0909091,3,0.957778,🌱 Adaptiv (resilient),K:2.80 S:2.50 A:3.00 h:2.73 Δh:0.09
123,4,2025-10-27 15:35:00,2.0,2.25,2.0,2.09091,-0.636364,2,0.986111,⚡ Perturbativ,K:2.00 S:2.25 A:2.00 h:2.09 Δh:-0.64
122,40,2025-10-27 16:46:37,2.6,2.0,2.0,2.27273,0.383838,3,0.92,🌊 Transformativ,K:2.60 S:2.00 A:2.00 h:2.27 Δh:0.38
124,16,2025-10-27 17:10:00,2.4,1.0,2.0,1.81818,-0.363636,2,0.653333,🌊 Transformativ,K:2.40 S:1.00 A:2.00 h:1.82 Δh:-0.36
125,21,2025-10-27 17:10:00,1.2,1.25,1.5,1.27273,-1.0,1,0.982778,💥 Kollapsiv,K:1.20 S:1.25 A:1.50 h:1.27 Δh:-1.00
126,20,2025-10-27 17:10:00,2.0,1.25,2.0,1.72727,0.0,2,0.875,⚖️ Homöostatisch (resilient),K:2.00 S:1.25 A:2.00 h:1.73 Δh:0.00
127,23,2025-10-27 17:10:00,2.2,2.0,2.0,2.09091,0.181818,2,0.991111,🔄 Koordinativ,K:2.20 S:2.00 A:2.00 h:2.09 Δh:0.18
128,8,2025-10-28 17:10:00,2.2,1.75,2.5,2.09091,-0.363636,2,0.905,🌊 Transformativ,K:2.20 S:1.75 A:2.50 h:2.09 Δh:-0.36
