pc1,pc2,dominante_dimension
-0.08841527331642345,0.02899196341193527,kognition
0.0930062098700414,-0.10655061597665445,kognition
-0.08138912087506983,0.07268907885267709,kognition
-0.09537545931154305,0.07838272753171184,performanz
-0.04726180959376183,0.025415005524486448,kognition
0.052932685107207535,-0.05999907187813721,kognition
-0.06527099219260842,0.05268520253728734,kognition
-0.13209083476180825,0.1329029690870562,motivation
-0.008717476969244834,-0.004050005915451724,regulation
-0.026670622624900813,-0.02630653230438061,kognition
0.054185220679663894,-0.07892013841653789,performanz
-0.08408379966819345,0.07184164769042067,kognition
0.051110658750528636,-0.05112699386705103,kognition
-0.01807506124297249,0.0021751792944761828,kognition
-0.03176711913549327,0.03678491117596226,regulation
-0.025390792828469063,0.007158502684003832,performanz
-0.05789546622250818,0.007323980983681472,performanz
-0.032918881891042986,0.00990551582203701,kognition
-0.044571282056689844,0.020397273827642826,kognition
-0.10403600975458265,0.08925171287709498,kognition
0.035514398547228834,-0.02360260989249203,kognition
-0.08951294239494412,0.07090919094352365,methodik
-0.011008103792535142,0.007101736218023395,kognition
0.061634569355167854,-0.12956336427792664,performanz
-0.05057965675537767,0.029220861785021236,performanz
-0.04785805899035055,0.021035605335101338,performanz
-0.047042819712245054,0.05156370477776656,performanz
-0.09780515398269611,0.1061312652625462,kognition
0.02107867372224356,-0.02839083728051563,kognition
-0.04117925074670702,-0.0420110164564631,performanz
-0.09602673781479862,0.08604654212224754,kognition
-0.0732366618558412,0.061179076122401276,kognition
-0.07256424952072522,0.04940625514120627,regulation
0.01646704059542766,-0.03946479100420953,kognition
-0.06726446622647268,0.07187582387596048,regulation
0.024319801193039697,-0.03936946264623923,regulation
0.024319801193039697,-0.03936946264623923,regulation
-0.0700333457342921,0.07321251855054775,performanz
-0.04410901591933598,0.015946245275444738,kognition
-0.1112741736013178,0.1067113167553464,performanz
0.05158825687240587,-0.05102232121910095,regulation
0.019600432286926626,-0.040767580955296624,kognition
-0.04335455485486384,-0.0030424587449301107,performanz
0.0019013117926640105,-0.008778686876157642,kognition
